Date,Close,High,Low,Open,Volume,Daily_Return,Volatility,MA20,MA50,Price_Change,HL_Spread
,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,,
2020-03-13,36.44133377075195,40.50466537475586,33.46666717529297,39.66666793823242,339604500,-0.0248505535904755,0.0651550029755825,49.3237663269043,43.88627979278564,-3.2253341674804688,7.037998199462891
2020-03-16,29.67133331298828,32.9913330078125,29.47800064086914,31.299999237060547,307342500,-0.18577806455584012,0.0751657593681118,48.14056625366211,43.906026458740236,-1.6286659240722656,3.5133323669433594
2020-03-17,28.68000030517578,31.456666946411133,26.399999618530273,29.333999633789062,359919000,-0.03341046380880208,0.0714606593203825,46.71323299407959,43.88894645690918,-0.6539993286132812,5.056667327880859
2020-03-18,24.08133316040039,26.99066734313965,23.367332458496094,25.933332443237305,356793000,-0.1603440409986845,0.07290767878093586,44.85923309326172,43.76851978302002,-1.851999282836914,3.6233348846435547
2020-03-19,28.50933265686035,30.133333206176758,23.8973331451416,24.979999542236328,452932500,0.1838768421567878,0.08879127686076121,43.28666639328003,43.713293113708495,3.5293331146240234,6.236000061035156
2020-03-20,28.50200080871582,31.799999237060547,28.38599967956543,29.213333129882812,424282500,-0.0002571736151377735,0.0887510694686955,41.70843315124512,43.62714645385742,-0.7113323211669922,3.413999557495117
2020-03-23,28.952667236328125,29.46666717529297,27.366666793823242,28.906667709350586,246817500,0.015811747064244486,0.08881180241197387,40.37676658630371,43.564413146972655,0.04599952697753906,2.1000003814697266
2020-03-24,33.66666793823242,34.24599838256836,31.600000381469727,31.81999969482422,343428000,0.16281749323562988,0.09844927542055944,39.39373340606689,43.6002131652832,1.8466682434082031,2.645998001098633
2020-03-25,35.95000076293945,37.133331298828125,34.07400131225586,36.349998474121094,318340500,0.06782176450892674,0.10026844388255868,38.5952335357666,43.619399871826175,-0.3999977111816406,3.0593299865722656
2020-03-26,35.21066665649414,37.33333206176758,34.150001525878906,36.49266815185547,260710500,-0.020565621439638027,0.0966065056213445,38.092433547973634,43.60638656616211,-1.2820014953613281,3.183330535888672
2020-03-27,34.29066848754883,35.0533332824707,32.935333251953125,33.66666793823242,215661000,-0.026128393930185068,0.09667626710280838,37.5803337097168,43.600866622924805,0.6240005493164062,2.118000030517578
2020-03-30,33.47533416748047,34.44333267211914,32.7486686706543,34.017333984375,179971500,-0.02377714859552571,0.09235497092828927,36.775366973876956,43.585719985961916,-0.5419998168945312,1.6946640014648438
2020-03-31,34.93333435058594,36.19733428955078,33.133331298828125,33.41666793823242,266572500,0.04355446239344318,0.09322432699117209,36.037000274658205,43.60372001647949,1.5166664123535156,3.0640029907226562
2020-04-01,32.104000091552734,34.26333236694336,31.67333221435547,33.599998474121094,200298000,-0.08099239055277141,0.09430822551199991,35.14386692047119,43.51620002746582,-1.4959983825683594,2.5900001525878906
2020-04-02,30.29800033569336,32.95066833496094,29.760000228881836,32.068668365478516,297876000,-0.05625466454987249,0.09464821347281911,34.2436336517334,43.36274665832519,-1.7706680297851562,3.1906681060791016
2020-04-03,32.000667572021484,34.36600112915039,31.22599983215332,33.96666717529297,338431500,0.05619734693587186,0.09606923121372843,33.49873371124268,43.23982666015625,-1.9659996032714844,3.1400012969970703
2020-04-06,34.41600036621094,34.733333587646484,33.19733428955078,34.08000183105469,223527000,0.0754775752334993,0.09361912523351504,33.19286708831787,43.17505332946777,0.33599853515625,1.5359992980957031
2020-04-07,36.36333465576172,37.66666793823242,35.48933410644531,36.33333206176758,268797000,0.05658223700690801,0.09344827088532885,32.859933853149414,43.158293380737305,0.030002593994140625,2.1773338317871094
2020-04-08,36.589332580566406,37.14733123779297,35.55533218383789,36.9466667175293,189840000,0.006214994497730331,0.09342322993804823,32.57530040740967,43.13421340942383,-0.3573341369628906,1.5919990539550781
2020-04-09,38.20000076293945,38.345333099365234,37.14066696166992,37.4726676940918,204750000,0.04402015748241661,0.09001541964244633,32.616800498962405,43.123560104370114,0.7273330688476562,1.2046661376953125
2020-04-13,43.39666748046875,43.46666717529297,38.70199966430664,39.34400177001953,337131000,0.13603839302984921,0.0942946732954373,32.96456718444824,43.137080078125,4.052665710449219,4.764667510986328
2020-04-14,47.32600021362305,49.45866775512695,46.1619987487793,46.597999572753906,458647500,0.09054457315006381,0.0832232084518091,33.84730052947998,43.21617340087891,0.7280006408691406,3.2966690063476562
2020-04-15,48.65533447265625,50.20866775512695,47.33333206176758,49.46666717529297,353655000,0.028088878270565276,0.08200630549207484,34.846067237854,43.149280090332034,-0.8113327026367188,2.875335693359375
2020-04-16,49.680667877197266,50.630001068115234,47.11466598510742,47.79600143432617,309868500,0.021073401625000487,0.06882546894407385,36.12603397369385,42.960146789550784,1.8846664428710938,3.5153350830078125
2020-04-17,50.259334564208984,51.663333892822266,49.84400177001953,51.48533248901367,196923000,0.011647723586206471,0.05994741149802418,37.21353406906128,42.98573348999023,-1.2259979248046875,1.8193321228027344
2020-04-20,49.75733184814453,51.03799819946289,47.48066711425781,48.8466682434082,221199000,-0.009988248360573104,0.060248032076785855,38.27630062103272,42.98226676940918,0.9106636047363281,3.557331085205078
