Date,Close,High,Low,Open,Volume,Daily_Return,Volatility,MA20,MA50,Price_Change,HL_Spread
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,
2020-03-13,67.1647720336914,67.63594563074507,61.11928915474014,64.00430755021486,370732000,0.11980864310245565,0.05529869312002052,70.70783672332763,73.80132209777832,3.160464483476545,6.516656476004933
2020-03-16,58.52421569824219,62.60044010140755,57.99022079286357,58.4613905994218,322423600,-0.12864714751231365,0.06163882196169994,69.70823001861572,73.52379585266114,0.06282509882039022,4.610219308543982
2020-03-17,61.0975341796875,62.24525368604919,57.60362153116066,59.804833950382424,324056000,0.04397014895019957,0.0629048566706258,68.90917339324952,73.31181343078613,1.2927002293050762,4.641632154888526
2020-03-18,59.60186004638672,60.40647473225053,57.29433197423103,57.934642818544056,300233600,-0.024480106331329354,0.06272073343795094,67.97951793670654,73.05849220275879,1.667217227842663,3.112142758019502
2020-03-19,59.14518737792969,61.09269153777121,58.62085961850456,59.77583112302971,271857200,-0.0076620539711614866,0.0627263710122514,67.06713886260987,72.8028345489502,-0.6306437451000235,2.4718319192666485
2020-03-20,55.39031982421875,60.84864774255849,55.09070239617697,59.72508515259065,401693200,-0.06348559739472703,0.06376512992435725,66.05460529327392,72.44893898010254,-4.334765328371901,5.7579453463815184
2020-03-23,54.21360778808594,55.211524041383235,51.37208822817037,55.11004159498472,336752800,-0.021244001476559582,0.06329739359258918,65.16288509368897,72.04046119689941,-0.8964338068987843,3.839435813212866
2020-03-24,59.65260696411133,59.84832336499044,56.61295251663222,57.11070131069981,287531200,0.10032534999857856,0.06783098435887724,64.66513557434082,71.73738845825196,2.5419056534115185,3.2353708483582224
2020-03-25,59.32399368286133,62.399890444761496,59.02920978154729,60.587696143364745,303602000,-0.005508783236375603,0.06764475741891884,64.09574375152587,71.39577980041504,-1.263702460503417,3.370680663214209
2020-03-26,62.4457893371582,62.503777185313226,59.526948436336156,59.565609459718246,252087200,0.0526228168485352,0.06739170433124081,63.913557052612305,71.13724136352539,2.880179877439957,2.97682874897707
2020-03-27,59.860408782958984,61.8248250722316,59.69368630258447,61.07095335601888,204216800,-0.041401999744773765,0.06800419843719889,63.604034996032716,70.83345542907715,-1.2105445730598987,2.13113876964713
2020-03-30,61.568695068359375,61.740251079824446,60.26149806281595,60.585279571290975,167976400,0.02853783193486481,0.06466707976460613,63.0724573135376,70.54503318786621,0.9834154970683997,1.4787530170084935
2020-03-31,61.443058013916016,63.42438996368667,60.88973623938196,61.75959108899796,197002000,-0.0020405995986088055,0.0643834023966199,62.64925003051758,70.23727279663086,-0.3165330750819422,2.534653724304711
2020-04-01,58.210105895996094,60.0972038911912,57.78001201918498,59.56079401122782,176218400,-0.05261704450302107,0.06407403031334492,61.90226440429687,69.8752668762207,-1.3506881152317263,2.3171918720062195
2020-04-02,59.18144226074219,59.234600264782834,57.2411861740168,58.07238003328574,165934000,0.01668673076255134,0.0640861997901499,61.32248306274414,69.52723968505859,1.1090622274564481,1.9934140907660307
2020-04-03,58.33091354370117,59.3674871060243,57.741345715951596,58.66677342106095,129880000,-0.014371544263719449,0.06409233955995697,60.747171592712405,69.15482566833496,-0.3358598773597805,1.6261413900727035
2020-04-06,63.41953659057617,63.57417329883105,60.25665512655962,60.62392376077119,201820400,0.08723715672758381,0.06503030179936405,60.702470016479495,68.88861968994141,2.7956128298049805,3.317518172271427
2020-04-07,62.685020446777344,65.64977566750463,62.5811230546705,65.43230640646736,202887200,-0.011581859207529632,0.0628979927192192,60.389443969726564,68.65284896850586,-2.747285959690018,3.0686526128341285
2020-04-08,64.2894058227539,64.6035165473233,63.1199373363336,63.48478743589154,168895200,0.025594398223715453,0.06273577831432951,60.276363372802734,68.40702896118164,0.8046183868623658,1.4835792109896957
2020-04-09,64.75334167480469,65.25592782434815,63.958397538567084,64.92490142355433,161834800,0.00721636552886884,0.05825814492694682,60.515090751647946,68.13842788696289,-0.17155974874964386,1.2975302857810647
2020-04-13,66.02428436279297,66.13301897916537,64.23141674512242,64.8306516969401,131022800,0.019627445551320566,0.05186373388092392,60.458066368103026,67.89751159667969,1.1936326658528742,1.9016022340429544
2020-04-14,69.35868835449219,69.64864228665921,67.18405598474394,67.65522928105665,194994800,0.05050269039460087,0.04313109880690907,60.999790000915525,67.79251373291015,1.703459073435539,2.4645863019152756
2020-04-15,68.72566223144531,69.18475002856255,67.80748663721087,68.23516188327974,131154400,-0.009126846802688604,0.042520794004351936,61.38119640350342,67.67895370483399,0.4905003481655683,1.3772633913516756
2020-04-16,69.27172088623047,69.63657830758835,68.22306550095219,69.43844332553729,157125200,0.007945484074729059,0.041881052951031186,61.86468944549561,67.52718811035156,-0.16672243930682384,1.413512806636163
2020-04-17,68.33181762695312,69.3345712466482,66.8965588537916,68.78849422470407,215250000,-0.013568354405703476,0.042020586848938474,62.32402095794678,67.34408920288087,-0.45667659775094194,2.438012392856592
2020-04-20,66.9134521484375,68.06117506076643,66.8941253228232,67.15991526149827,130015200,-0.02075702839135596,0.03918148553371652,62.900177574157716,67.11449600219727,-0.24646311306076996,1.1670497379432305
2020-04-21,64.84516143798828,66.99080126610937,64.13478048479037,66.75642377646463,180991600,-0.030909938794683955,0.03964665863756232,63.431755256652835,66.8648487854004,-1.911262338476348,2.8560207813190033
2020-04-22,66.71290588378906,67.14782951135057,65.77056644151477,66.11125243793057,116862400,0.028803142815627236,0.033845194506348396,63.78477020263672,66.64521057128906,0.6016534458584886,1.3772630698357915
